first_name,last_name,pelicula
Lois,Abbatt,Godzilla and Mothra: The Battle for Earth (Gojira vs. Mosura)
Jane,Goulding,Freedomland
Kenneth,Dradey,Manhattan Melodrama
Fransisco,Deakins,"Buccaneer, The"
Barbie,Carncross,Ugly
Rosaline,Fishenden,Presumed Guilty (Presunto culpable)
Barbee,Hagwood,"Ultramarines: A Warhammer 40,000 Movie"
Celia,Matussow,Fuck
Tabby,Keely,"Stupids, The"
Isabelle,Myatt,Fuck
Reggy,Langmaid,Psycho III
Farlie,Sandey,Exit Wounds
Forrester,Detheridge,Hollywood Ending
Sheba,Hightown,Floods of Fear
Laurie,Elleyne,Runaway Train
Bonnie,McTague,Saw IV
Fawn,Attryde,Breaking Away
Elana,Boord,Rabbit à la Berlin (Królik po berlinsku)
Donelle,Dexter,Winnie the Pooh and Tigger Too
Budd,Gofford,Mortdecai
Robinet,Martinot,"Princess and the Goblin, The"
Guenna,Haitlie,Secuestrados (Kidnapped)
Jaclyn,Tomkies,"Barber of Siberia, The (Sibirskij tsiryulnik)"
Margret,Pearson,Eating Raoul
Reeva,Wison,Itty Bitty Titty Committee
Janeva,Ivett,'Neath the Arizona Skies
Aube,Ivic,"Puff, Puff, Pass"
Mohammed,Benedict,"Man and a Woman, A (Un homme et une femme)"
Cal,Rubinowitz,Mystics in Bali (Leák)
Edan,Marchetti,"Children's Hour, The"
Bev,Ryott,Metal Brothers (Mammas pojkar)
Sarita,Gorgen,The Magnet
Chlo,Cabera,Feast II: Sloppy Seconds
Clevie,Micah,Mahakaal (The Monster)
Genovera,McDoual,Cherry Crush
Brenn,Ratt,Winter Passing
Maible,Clail,Fuga de cerebros
Skipper,Gierke,The Hanoi Hilton
Gradey,Shitliffe,Ripe
Myra,Tumilty,"Wild Angels, The"
Julia,Sainteau,Our Daily Bread (Unser täglich Brot)
Franklin,Sandells,Celine and Julie Go Boating (Celine et Julie vont en bateau)
Suzette,Vautrey,Ghost in the Shell (Kôkaku kidôtai)
Dido,Felgat,Prom Queen: The Marc Hall Story
Creight,Norcliff,"Amateur, The"
Mag,Iannelli,"Principal, The"
Meaghan,Gawen,Equinox
Magdaia,Harken,After the Wedding (Efter brylluppet)
Shaylah,Crebott,Beatdown
Garrard,Dowbekin,"Dilettante, La"
Jorie,De Normanville,Reykjavik-Rotterdam
Barnabe,Benka,Black Tights (1-2-3-4 ou Les Collants noirs)
Lynnelle,Guyers,Wilder Napalm
Rachael,Degnen,Butch Cassidy and the Sundance Kid
Aubry,Chander,"Gunfighter, The"
Adina,Skeldon,"Chasers, The (Jakten)"
Gallagher,Keoghane,"Apple, The (Sib)"
Gerti,Newark,Murk (Mørke)
Carlene,D'Arrigo,Lost in Austen
Gustave,Antoshin,Fabled
Gideon,Petrushanko,Ramona and Beezus
Edeline,Cauldfield,Morocco
Johan,Dornin,"Legend of Suram Fortress, The (Ambavi Suramis tsikhitsa) "
Bealle,Tipperton,Swing
Talya,Siemianowicz,"Krakatoa, East of Java"
Joyce,Wedderburn,Molly Maxwell
Meggy,Stair,"Tough Ones, The (Häjyt)"
Rosco,Woodthorpe,Any Number Can Play
Jessalin,Dannell,Smooth Talk
Roland,Cutbirth,Green Lantern: Emerald Knights
Illa,Brayshaw,Backtrack (Catchfire)
Angil,Wharrier,Kiss Me Goodbye
Martino,Taill,Second in Command
Meggie,Pescod,Hercules in the Underworld
Vanny,Ingrey,"Brothers McMullen, The"
Cecily,Birnie,Go
Lizzie,Lagneaux,Room 666 (Chambre 666)
Klarrisa,Omrod,"Dentist, The"
Kore,Fishbourne,Ghosts of Girlfriends Past
Livvyy,Lillicrop,Christine
Magdalen,McVie,Splitting Heirs
Jean,Cardus,"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes)"
Florina,Gheerhaert,Project Grizzly
Sherline,Marley,The Elephant Man
Barbey,Hutchcraft,The Expelled
Laura,Dunbabin,Black Cloud
Amye,Gerriessen,Common Places (a.k.a. Common Ground) (Lugares comunes)
Rasia,Duffil,O Lucky Man!
Haywood,O'Devey,The Diary of Anne Frank
Arel,Teale,Leave
Leelah,Mount,"Boxtrolls, The"
Dacie,Mikalski,Need for Speed
Ethyl,Petzold,Bubba Ho-tep
Veronika,Arckoll,Striking Range
Orrin,Atwel,Shadow Kill
Lockwood,Ager,Pitfall (Otoshiana)
Hugues,Antalffy,Antitrust
Vania,Wakely,Kinyarwanda
Gabi,Rock,Screamtime
Mendy,Shellsheere,Tall Story
Lily,Smiz,Films to Keep You Awake: The Christmas Tale (Películas para no dormir: Cuento de navidad)
Gareth,Fontes,"Gods Must Be Crazy III, The (a.k.a. Crazy Safari) (Fei zhou he shang)"
Phyllida,Grigson,"Charlie Brown Christmas, A"
Yule,Chorlton,The Gamers
Linn,Martinyuk,Zeisters (Fat Guy Goes Nutzoid)
Marve,Dudson,Voices
Dana,Fabri,Snake-Crane Secret (She hao dan xin zhen jiu zhou)
Euphemia,Trusslove,Gemini (Sôseiji)
Maureene,Dussy,Savior
Agnese,Farmiloe,44 Inch Chest
Mimi,Metherell,Szamanka
Vincents,Faull,Wanted
Leontyne,Sprigging,Kafka
Charmane,Elsmor,Till Human Voices Wake Us
Arlene,Stredwick,Jumbo (Billy Rose's Jumbo)
Izak,Axtonne,Fires on the Plain (Nobi)
Prudy,Willimott,Churchill: The Hollywood Years
Karlotta,Yetman,Her Highness and the Bellboy
Hildegarde,Klees,"Band Called Death, A"
Stephana,Minear,My Fair Lady
Cristy,Najara,Everything Must Go
Romy,McGeachy,"Big Squeeze, The"
Daphene,Lankester,"Mummy's Tomb, The"
Melony,Twaite,Three on a Weekend
Kennedy,Cassely,Two Much
Montague,Gilham,June 9 
Conway,Colafate,Evil Dead II (Dead by Dawn)
Cherianne,Jacketts,"Night in Casablanca, A"
Karylin,Bourget,"Rome, Open City (a.k.a. Open City) (Roma, città aperta)"
Budd,Mathias,Man on a Mission: Richard Garriott's Road to the Stars
Lenee,Aughtie,Cuckoo in a Dark Forest (Kukacka v temném lese) 
Gerhardine,Marcussen,King Lear (Korol Lir)
Candide,Smorthit,Kimberly
Erinna,O'Nions,Wings of Honneamise (Ôritsu uchûgun Oneamisu no tsubasa)
Eliot,Soper,"Great Train Robbery, The"
Lonnard,Clarkin,"Ape, The"
Bernadene,Franciotti,Control
Eryn,Buss,Company Business
Culver,Penrose,Backwood Philosopher (Havukka-ahon ajattelija)
Phillie,Scarth,Blossoms in the Dust
Rutledge,Phippin,"Age of the Earth, The (A Idade da Terra)"
Chaunce,Stayt,"Blind Sunflowers, The (Los girasoles ciegos)"
Diannne,Morales,Lord of Tears
Siusan,Ropkes,Murderball
Lothaire,Sherrell,Killer Crocodile
Burtie,Sawbridge,The Boy
Arch,Dybald,Comme un chef
Joanie,Bicker,The Inner Circle
Gaston,Hugill,Big Buck Bunny
Tish,Turpin,"White Shadow, The"
Karen,Kubik,God Bless Ozzy Osbourne
Kirby,Klein,Strawberry and Chocolate (Fresa y chocolate)
Adam,Durtnall,Offside
Ellwood,Cohn,Scorpio Rising
Frederich,Hillum,"Knight's Tale, A"
Lonny,Fouldes,Right Now (À tout de suite)
Alaric,Ciementini,Elsa & Fred
Wallie,Blunsen,Phaedra
Bancroft,Littleproud,"Forbidden Kingdom, The"
Collete,Paolini,Raw Deal
Lebbie,Wevell,And Starring Pancho Villa as Himself
Keeley,Sims,Cowboy del Amor
Flory,Gummoe,Jules and Jim (Jules et Jim)
Martita,Lowder,Havana
Amaleta,Hallor,Hide-Out
Rob,Boswood,"First Deadly Sin, The"
Sal,Thieme,House Party 2
Hobard,Hiskey,"Damsel in Distress, A"
Felipe,Pepperd,Milka - A Film About Taboos (Milka - elokuva tabuista)
Elbertine,McConnell,"Left-Hand Side of the Fridge, The (Moitié gauche du frigo, La)"
Suzette,Elkington,Parisian Love
Tamar,Carhart,"Accused, The"
Jillian,Whitcombe,"27 Club, The"
Nelle,Dobbinson,Big City Blues
Kiri,Gilsthorpe,"Aral, Fishing in an Invisible Sea"
Elia,Beamiss,When in Rome
Randi,Blacksell,"Woodmans, The"
Alidia,Merrell,"Way of the Dragon, The (a.k.a. Return of the Dragon) (Meng long guo jiang)"
Susanne,Larwell,Nixon by Nixon: In His Own Words
Sadie,Lovejoy,Material Girls
Olenka,Raffan,Beauty Is Embarrassing
Leonardo,Heggison,Harlan County U.S.A.
Clare,Laws,"Anderson Tapes, The"
Cully,Iacovaccio,She-Wolf of London
Fitzgerald,Stempe,House Party
Timotheus,Wisher,Unfaithful
Ninnette,Dallinder,Dragon Ball Z: Bojack Unbound (Doragon bôru Z 9: Ginga girigiri!! Butchigiri no sugoi yatsu)
Alecia,Cocksedge,Signs
Odella,Nipper,Champagne
Yuri,Abys,"Blueprint for Murder, A"
Daveta,Hoggins,Angel's Egg (Tenshi no tamago)
Estella,Emerson,13 Beloved (13 game sayawng)
Tracie,Lightowlers,Mr Hublot
Pepito,Wilstead,Confessions of a Superhero
Adoree,Rany,Mission to Mir
Tami,Tabbernor,Man Trouble
Trefor,Lee,"Sword in the Stone, The"
Glenda,Mabey,Dragonheart 2: A New Beginning
Michele,Richichi,"Cherry Orchard, The (Sakura no sono)"
Ranice,Punt,Bad Company
Addy,Shergill,"Guy Named Joe, A"
Ros,Paul,All Quiet on the Western Front
Steven,Christou,Sweeney Todd: The Demon Barber of Fleet Street
Maryjane,Livard,Win a Date with Tad Hamilton!
Arabela,Bewlie,"Tough Guise: Violence, Media & the Crisis in Masculinity"
Nady,Bleasby,Broken
Elfie,Eschalette,"Show, The"
Teddie,Morehall,Dylan Moran: Monster
Tucky,Mingame,Touch of Pink
Consalve,Windebank,1776
Freedman,Minchinden,Cherish
Lacie,Rickeard,Asterix & Obelix vs. Caesar (Astérix et Obélix contre César)
Elsi,Krugmann,Otakus in Love
Konstantine,Shawl,Diabolique
Lucille,MacKee,Lady Be Good
Audry,Burnsides,The Vengeance of Fu Manchu
Moise,Grote,National Lampoon's Cattle Call (Cattle Call)
Raphaela,Nelthrop,Cobra
Ediva,Bandiera,Halfmoon (Paul Bowles - Halbmond)
Hanni,Mc Combe,Journey 2: The Mysterious Island
Gustaf,Karpenko,Until the End of the World (Bis ans Ende der Welt)
West,Simpkiss,Branded
Fanni,McShane,Percy Jackson: Sea of Monsters
Nancey,Hanna,Katze im Sack
Lorita,Errigo,Day and Night (Dag och natt)
Stacy,Tireman,Love and Death
Saidee,Berridge,Ivanhoe
Dev,Grave,Easy Rider
Joyan,MacDougall,Mascara
Moyra,Youd,Son of Batman
Carlie,Auckland,"Geographer Drank His Globe Away, The (Geograf globus propil)"
Karia,Everton,Anna and the King
Patrica,Zienkiewicz,"300 Spartans, The"
Edie,Sapir,Restraint
Louise,Cauderlie,"Bugs Bunny / Road Runner Movie, The (a.k.a. The Great American Chase)"
Daven,Simko,Big Easy Express
Aguistin,Eltune,A Coming-Out Party
Melania,Rugge,Hangman's Curse
Harriette,Hawker,"11'09""01 - September 11"
Hillyer,McTrustam,"Secret Life of Walter Mitty, The"
Shara,Marsden,Ferris Bueller's Day Off
Egon,Behling,Final Destination 5
Bron,Salsberg,Norbit
Danya,Gable,Nordkraft
Moss,Sutherland,"Wedding Singer, The"
Nan,Fiddeman,Mean Machine
Dan,Easterfield,"House of Seven Corpses, The"
Grazia,Gentry,"Dog's Life, A"
Dulcie,Morgan,Before I Self Destruct
Harmony,Hamber,Lovesick
Emmott,Jaan,My Wife is an Actress (Ma Femme est une Actrice)
Merrily,Lowe,Raffles
Freeman,Titmarsh,Night on Earth
Gris,Gedge,Beautiful Boy
Alexei,Feldbau,Music of the Heart
Ogdon,Reggler,OKA!
Brandais,Gooderham,Divorce American Style
Frederique,Bauman,Cold Steel
Rutter,Jaycock,"Day at the Races, A"
Friedrick,Dufty,Liberty Heights
Hayley,Dewett,Madigan
Dukie,Ornells,Ellen DeGeneres: The Beginning
Junina,Feldklein,Halls of Montezuma
Bobbie,Truswell,Hans (Kukkulan kuningas) 
Dagmar,Mardy,Gett: The Trial of Viviane Amsalem
Ainslee,Drewes,Monsters vs. Aliens
Ulises,Heineken,"Manhattan Project, The"
Agosto,Londsdale,Jesse Stone: Sea Change
Dara,Packington,Third Star
Zorina,McCurtin,Quills
Janifer,Royans,"Mikado, The"
Dore,Duddle,Where the Heart Is
Timmi,Legges,Dracula
Myrna,Sterry,Season's Greetings
Edy,Bister,Hugo
Dominica,Simmance,"Last Command, The"
Rora,Reynish,"Man from the Future, The (O Homem do Futuro)"
Constancy,Ibel,Identification Marks: None (Rysopis) 
Constantine,Adne,The Missionaries
Lynnelle,Scothorn,"Secret Garden, The"
Cynthie,Squirrell,Junior Prom
Amber,St. Clair,"Bank, The"
Karita,Jansens,Society
Jennine,McCreery,Klip (Clip)
Matty,Auton,Congorama
Mame,Scorrer,Cop in Drag
Fayette,Lofts,Near Dark
Lorant,Farley,Love In the Time of Money
Marlow,Kornyshev,"Last Ferry, The (Ostatni prom)"
Patrick,Boston,Code 46
Brig,Bayston,Murder Ahoy
Magda,Frosch,Bullet to the Head
Regina,Deabill,Inside Job
Ethyl,Spencock,Venice/Venice
Jamey,Samuel,Friend Zone (Pagafantas)
Garnette,Bellocht,Foo Fighters: Back and Forth
Terri,Anthonies,Butterfield 8
Winni,Lesser,Place Vendôme
Jessalyn,Bearne,Beautiful Losers
Woody,Destouche,Die Another Day
Kermit,Remmer,"Minion, The"
Trudey,Ruddiforth,"It's a Mad, Mad, Mad, Mad World"
Dory,Foulsham,The Suspicious Death of a Minor
Karlik,Surgeoner,Last Winter (L'hiver dernier)
Teresa,Jenoure,"Prophecy, The"
Marieann,Grangier,Wheel of Time
Whittaker,Mc Queen,Bottled Up
Sully,Balas,Grudge Match
Albertine,Bowell,"Fatal Hour, The"
Garvy,Jancik,Joe Strummer: The Future Is Unwritten
Lorna,Lightwing,Crazy Kind of Love
Dilan,Nuccitelli,Mercy 
Meggy,Walcot,Choppertown: The Sinners
Nicole,Vennard,"Secret of My Succe$s, The (a.k.a. The Secret of My Success)"
Diandra,Vedmore,Halloween 4: The Return of Michael Myers
Taite,Bummfrey,Joni's Promise
Shamus,Hockell,Coneheads
Lexi,Brentnall,George Washington
Mendie,Croxon,Bill Burr: I'm Sorry You Feel That Way
Darn,Letessier,Night of the Creeps
Corinne,Benit,Heat
Randy,McKilroe,"Killer Is Loose, The"
Melli,Salling,"Rewrite, The"
Grady,Camings,"Three Brothers, The (Les trois frères)"
Bradley,Vidgen,Tesla: Master of Lightning
Peterus,Ricciardelli,Femme Fatale
Cynthia,Riggert,"Glass-blower's Children, The (Glasblåsarns barn)"
Lammond,Kirsch,Excess Baggage
Luisa,Heathfield,What Just Happened
Glynn,Matthewes,Puckoon
Lionello,Jamrowicz,Lucky Number Slevin
Wittie,Jakoviljevic,"Great Yokai War, The (Yôkai daisensô)"
Hebert,Narbett,Son of God
Carl,Zahor,Road Games (a.k.a. Roadgames)
Cecilius,Menhci,Outsiders (Ceddo)
Harrison,Aris,Wolf Creek
Rodolphe,Deguara,Breathe In
Kathi,Spridgen,"Life Less Ordinary, A"
Rollo,Guilloneau,Road House
Doug,McGing,"Late Shift, The"
Shelli,Gabriel,Angel
Shamus,Northey,Pittsburgh
Joya,Ibanez,Rough Riders
Renard,Dunkerk,Secrets & Lies
Edithe,Scamp,"Intern, The"
Dorthy,Ivanovic,So Dear to My Heart
Gregorio,Ethridge,Essential Killing
Sosanna,Trott,Ann Carver's Profession
Torrence,Tippetts,Body and Soul
Chic,Sprigging,Mafioso
Elbert,Meiningen,Rififi (Du rififi chez les hommes)
Arron,Antonik,Southland Tales
Nikolaus,Gerty,"Glass House, The"
Diena,Searchwell,"Gospel According to St. Matthew, The (Vangelo secondo Matteo, Il)"
Hewett,Josum,Thérèse
Isidore,Foye,You Are the Apple of My Eye
Essie,Nowick,Farewell (L'affaire Farewell)
Christophorus,Vango,"Princess Diaries, The"
Jefferey,Ruppertz,I Accuse
Alma,Schuricke,Slaying the Badger
Colman,Flecknoe,Blind Justice (Hævnens nat)
Siobhan,Ianson,"Gold Rush, The"
Dalenna,Assur,One Spy Too Many
Ezekiel,Ingerith,Jab We Met
Bernarr,Martina,Glenn Killing på Berns
Upton,Giannotti,Rust and Bone (De rouille et d'os)
Manya,Ellson,Crawlspace
Clevey,Janak,Once Upon a Time in Anatolia (Bir zamanlar Anadolu'da)
Romy,Fritchley,Two Weeks Notice
Marty,Aspinwall,Exiled (Fong juk)
Nicky,Checklin,Simon
Enid,Haborn,Where the Heart Is
Cele,Savil,Emmet Otter's Jug-Band Christmas
Melita,Rabjohn,"Baby, The"
Dudley,Seys,Monte Carlo
Marcelia,Malarkey,Analyze That
Gardener,Rekes,Horror Business
Todd,Bread,Dagon
Cairistiona,Vasilevich,No
Sylvan,Skeleton,Tin Pan Alley
Sutton,Wehner,White Material
Kristan,McArthur,"Girl Said No, The"
Jo-ann,Slocumb,Going All the Way
Skippy,Rouff,SLC Punk!
Wilhelmina,Hoult,"Rimini, Rimini: A Year Later"
Starlin,Spennock,Why Not Me? (Pourquoi pas moi ?)
Hailey,Haseman,Liquid Sky
See,Yeld,Aqua Teen Hunger Force Colon Movie Film for Theaters
Lisha,Middleditch,Ned Kelly
Morey,Streak,Hedd Wyn
Karia,Collingdon,Poltergeist II: The Other Side
Gilda,Gilffilland,"Return of Swamp Thing, The"
Bekki,Bowhay,Sometimes in April
Marchelle,Roberto,My Chauffeur
Meryl,Sleicht,Adventure in Baltimore
Wilona,Code,Shorts
Reinwald,Fludgate,"Cove, The"
Dyan,Ropking,Sophia de Mello Breyner Andresen
Walsh,Hakey,White Dog
Gertrude,McGucken,Bad Words
Tricia,Bianco,"Walking Dead, The"
Harry,Abramow,Forbidden Games (Jeux interdits)
Evin,Northall,Blue Collar Comedy Tour: The Movie
Alvy,Birchwood,Mourning Becomes Electra
Grethel,Danit,"Land That Time Forgot, The"
Dolli,MacRitchie,Vizontele
Cassius,Vasilyev,Stag Night
Norby,Flintuff,Night Editor
Marj,Jestico,Day of the Falcon
Lorraine,Hurtado,"Moon Warriors, The (Zhan shen chuan shuo)"
Bordy,Turk,Bedknobs and Broomsticks
Mara,Coleborn,Goldengirl
Eberhard,Frensch,The Captains
Lorelei,Beake,Expecting a Miracle
Candi,D'Aeth,Diminished Capacity
Stanton,Gerring,American Boy: A Profile of: Steven Prince
Yoshiko,Kitney,Growing Pains
Nevile,Swatton,At Land
Francesca,Burwood,Skirt Day (La journée de la jupe)
Jere,Marielle,Kiss Me Kate
Alden,Raymen,Bye Bye Braverman
Verne,Diable,Prayers for Bobby
Chastity,Jagger,Return to House on Haunted Hill
Kimberli,Vonasek,Lollilove
Magdalene,Pitcock,"Secrets, The (Sodot, Ha-)"
Aube,Craigg,Rally On! (Ralliraita)
Wrennie,Ordelt,Boiling Point
Jay,Schober,"Claire's Knee (Genou de Claire, Le)"
Brynna,Starking,Make Believe
Nedi,Cordrey,Crime Lords of Tokyo
Raynell,Terram,Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice)
Guthrie,Oxbrough,Lonesome Dove
Niki,Medcalfe,Godspeed
Doralynne,Bazley,"Blackbeard, the Pirate"
Gwendolyn,Penfold,Scott Walker: 30 Century Man
Jamima,Hoxey,My Life in Ruins
Vincenz,Peyes,Taste the Blood of Dracula
Thorvald,Malinowski,Taxi Driver
Lacie,Tipens,Brother Rat
Gabi,Ligertwood,Turn of Faith
Denise,Patterfield,American Graffiti
Rafaela,Basso,Phaedra
Max,Moorhead,Pink Saris
Goldi,Castaner,School of Rock
Deane,Pack,Heartbreak Hospital
Bessie,Cecere,About Last Night...
Ally,Prando,Soul Kitchen
Putnem,Ketcher,"Study in Terror, A"
Jamey,Manus,Enid Is Sleeping
Zulema,Buchan,Fantomas (Fantômas - À l'ombre de la guillotine)
Stillmann,Elvish,Frostbitten (Frostbiten)
Murielle,McIlwaine,Jerichow
Quinlan,Hugues,Kanak Attack
Randal,Bremen,12 Days of Terror
Arv,Dinse,Voyage of the Damned
Ruddy,Daintree,"Brother from Another Planet, The"
Ringo,Badrick,"Keeper, The"
Bridget,Shorey,Dead Awake
Berny,Lippitt,Butterfly
Janina,Rayer,Mr. Accident
Dalt,Guidoni,"Convent, The (O Convento)"
Maris,Windybank,Ask Me Anything
Gregorius,Pashen,Orders to Kill
Jerry,Ungerer,Marilyn: The Untold Story
Arturo,Leschelle,"Born Losers, The"
Avram,Searle,"Glass Menagerie, The"
Hettie,Doeg,V/H/S/2
Nilson,Pickthall,Nobody Loves Me (Keiner liebt mich)
Farand,Moreno,Too Many Husbands
Ruggiero,Perigoe,Viper in the Fist
Rabi,Stirzaker,"Longest Yard, The"
Elisha,Kilsby,"Last Godfather, The"
Alva,Toseland,Blended
Ilyse,Enderwick,"Master, The (Huang Fei Hong jiu er zhi long xing tian xia)"
Ezmeralda,Nockells,Leprechaun 4: In Space
Stormie,Hazelgreave,Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha)
Mile,Spreadbury,"Great Stone Face, The"
Florette,Yesenev,Kids of Survival
Valera,Savary,Youth in Revolt
Wilmette,Exroll,"Give 'em Hell, Malone"
Velma,Abdee,Finding Forrester
Padraig,Bruntje,How to Train Your Dragon
